date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:26	547/547	---MCZ	200	added ('OK')	text/css	etag:W/%22223-697da94f-8e2d40;br%22	https://hi.inviee.id/wp-content/plugins/elementor-pro/assets/css/widget-lottie.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor-pro/assets/css/widget-lottie.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:26	153/153	---MCZ	200	added ('OK')	text/css	etag:W/%2299-697d959c-8e3814;;;%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:27	137/137	---MCZ	200	added ('OK')	text/css	etag:W/%2289-697d959c-8e37f1;;;%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:27	155/155	---MCZ	200	added ('OK')	text/css	etag:W/%229b-697d959c-8e3816;;;%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:27	77/77	---MCZ	200	added ('OK')	text/css	etag:W/%224d-697d959c-8e37f2;;;%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:27	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%224057-697d959c-8e388f;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:27	5486/5486	---MCZ	200	added ('OK')	text/css	etag:W/%22156e-697d959c-8dd73d;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:28	213/213	---MCZ	200	added ('OK')	text/css	etag:%22d5-697d959c-8e3805;gz%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:28	217/217	---MCZ	200	added ('OK')	text/css	etag:%22d9-697d959c-8e3807;gz%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:28	1243/1243	---MCZ	200	added ('OK')	text/css	etag:W/%224db-697d959c-8dd80b;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-video.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-video.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
